"TIV of arms exports to all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 16 October 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,12,14,0,0,0,4,3,13,3,26,12,4,11,49,44,12,15,27,9,5,5,277
,Lebanon,5,,2,5,6,8,,39,65,11,,3,13,18,,34,67,78,1,,,7,49,39,28,11,3,8,2,19,37,9,36,87,192,71,,,,,,,40,40,18,42,27,9,7,4,4,,,,,1,,5,1,52,64,2,31,24,5,1328
,Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,25
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,1,,0,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,45
,LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,52,20,,0,0,,,,,,,,,,,,,,,,,,,,,,,94
,Liberia,,,,,,,,,,1,,,,,2,,,18,,,,0,1,,,,2,,1,,,,,,,,4,7,,12,3,,,,,,,,,1,8,,,,,,,,,,,,,,,61
,Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,155,370,555,554,749,1761,1629,1810,3062,4215,3315,2969,3121,2702,1393,748,753,410,184,9,218,4,,,,,,,,,9,,,,,,,14,15,16,26,24,8,73,121,10,31156
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,10,,4,15,,15,5,6,16,12,1,49,9,49,4,27,27,8,1,1,73,6,411
,LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0
,LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,1,,1,,,0,,,,,,,,,,3
,Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,7,7,,1,,,22
,Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,,12,81,14,112,,,,,0,,,,,,,1,,248
,Madagascar,,,,,,,,,,,,3,,2,0,7,,12,1,1,,0,0,,18,6,,,,64,43,0,,8,,6,,,,,,,,,,,22,,,,,,,,,,,,,0,,,,0,,193
,Malawi,,,,,,,,,,,,,,,5,,,,,,,,0,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,11,,,,2,,,,,,,,,,,,,,3,,,,1,2,2,100
,Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,127,90,78,25,195,113,206,50,81,391,146,72,314,129,97,84,326,604,408,138,22,14,38,,34,13,13,308,848,33,555,39,720,28,26,154,147,65,57,398,526,508,1512,421,5,47,71,73,10657
,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,8,,,,,,,,15,,,,5,,,5,,32
,Mali,,,,,,,,,,,,3,10,4,,,1,10,,2,,15,,,,9,71,,,,,91,4,15,13,0,,,1,,1,,,,0,,,9,5,,7,,1,,,13,,8,3,10,,,9,6,7,328
,Malta,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,8,,1,,,,,,,,,,,,13,,,0,1,6,0,,0,0,,,,18,,,,,,8,8,,12,74
,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,8
,Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,11,13,,1,5,5,10,24,17,24,,18,16,,0,3,,,,8,16,18,,,16,3,3,8,5,,31,,26,7,,,,,,,9,5,11,10,5,337
,Mauritius,,,,,,,,,,,,,,,,,,,0,,,0,,,2,,,,,3,,,,,,1,,,,,6,,,8,,,29,1,,,,,,,6,,,,,,,,,,41,97
,Mexico,,7,,6,,,,,6,13,9,45,107,60,10,11,21,14,0,,82,48,15,160,68,101,72,39,68,61,75,115,336,116,,8,143,154,107,68,34,40,18,160,128,50,87,486,23,141,238,152,97,31,320,36,71,,22,59,112,229,261,69,73,5082
,Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,23
,MNLF (Philippines)*,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,9,,,,,,,,,,,,,,,,,,,,19
,Mongolia,,,20,,3,10,9,12,12,,10,83,112,103,124,137,115,63,15,14,15,13,8,58,76,190,26,24,42,29,60,72,152,114,110,98,27,36,27,,,,,,,,,,,,,,,,,,,,14,,27,3,60,,,2119
,Morocco,,,,,,,28,12,10,13,24,37,88,14,18,81,151,165,105,38,77,1,,23,200,206,216,408,419,727,461,791,523,393,59,38,31,32,109,125,135,62,17,100,117,30,94,225,,60,125,11,156,12,14,101,47,27,46,39,306,1399,819,55,594,10211
,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,29,33,147,491,111,53,60,64,59,94,73,1,,,,,,,,,,,,,,0,,,1,,,,,,,,0,0,9,12,1236
,MPLA (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0
,Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,7,31,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,136
,Myanmar,4,0,0,16,39,47,30,53,60,21,13,16,14,51,18,19,3,13,6,22,4,22,4,,,53,10,9,25,19,41,,39,,,,8,,,34,266,232,65,323,97,223,118,231,156,141,16,149,157,83,194,160,166,135,79,42,63,697,531,278,72,5384
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,7,,,21,11,,16,,72,6,66,15,,1,57,,2,285
,NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,5377
,Nepal,,,,,,,,,,,,,,,,2,0,,,,8,8,3,1,2,15,6,,,,,1,,,3,3,,,,1,,,1,,,1,,,,,,11,9,9,34,6,,,1,,,3,,,18,144
,Netherlands,154,440,391,931,786,746,1171,695,452,146,294,306,368,841,809,684,180,731,266,542,672,672,644,21,40,91,261,579,706,784,628,763,1251,1365,1203,901,787,632,381,707,279,314,239,135,203,71,205,126,271,284,125,178,244,125,127,102,320,240,157,288,193,149,376,332,13,29115
,New Zealand,41,63,158,13,,36,148,90,58,,119,111,12,5,,10,407,4,56,,154,133,20,19,7,48,7,34,,,,31,62,100,37,9,38,5,59,26,23,42,55,36,16,7,7,326,15,320,,45,17,106,48,10,5,81,2,48,58,23,25,26,83,3542
,Nicaragua,,,,3,13,27,1,4,6,,2,8,6,8,0,0,2,,,,,5,5,12,,,7,19,13,,,41,66,47,183,87,98,226,63,34,102,1,,,,,,,,,,,,,,,,14,,14,,,,,,1117
,Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,,,,,1,57,7,,6,13,3,,3,,,,,7,,,,,,3,,,,,,14,,,,,8,1,0,,,13,3,157
,Nigeria,,,,,,,,,,5,,1,8,9,2,118,99,45,46,39,14,12,113,9,24,439,104,68,136,87,491,287,632,50,360,582,222,115,62,15,18,3,59,41,95,2,15,1,,,36,7,6,62,6,,15,52,19,65,186,65,4,35,204,5191
,NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
,Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,207,,,,,,,,,,,,,,228
,Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1
,North Korea,849,364,194,657,225,367,442,391,881,639,485,86,198,214,186,135,854,853,1298,604,622,1566,561,639,921,635,502,312,369,232,416,263,559,512,283,1080,1137,889,854,595,295,198,137,93,35,155,90,9,9,179,18,28,9,8,8,5,15,5,5,4,1,,,,,24172
,North Yemen,0,,4,,,1,,60,25,8,,23,,1,,,,39,43,14,,,,,9,9,1,13,14,704,667,144,45,9,98,101,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,2113
,Norway,171,69,426,419,19,168,282,142,144,104,143,100,86,227,240,346,749,679,283,518,145,86,68,74,55,49,35,22,14,39,251,436,460,444,340,127,144,203,297,669,380,340,272,191,104,75,169,140,148,156,234,104,91,14,6,14,542,567,624,588,159,611,167,80,18,15063
,NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
,Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,60,11,71,67,181,150,250,82,43,12,72,182,356,120,86,49,35,14,115,50,,,55,145,280,292,163,22,,118,33,40,36,41,173,301,16,75,93,30,21,120,490,738,5366
,PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Pakistan,194,169,145,95,145,195,290,388,353,323,42,68,88,198,85,214,593,153,418,540,405,565,675,162,214,246,291,253,646,710,854,485,536,776,860,755,286,622,412,966,635,496,380,1001,887,367,510,696,705,879,176,409,542,629,456,422,339,673,1055,1227,2226,1069,973,1175,659,34006
,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,8
,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,14,6,,,,,35
,Panama,,,,,,,,,,,,,,,0,,,,0,3,4,18,2,16,,26,6,5,6,,2,4,13,8,0,7,,,23,2,,,2,,,,0,12,,,,,1,,,,,,,7,,,65,75,,306
,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,5,,3,,11,12,6,6,4,10,10,,1,,0,7,,,,,,,,,,,,,,,,,,112
,Paraguay,5,,1,1,,0,,,,,10,,11,0,8,1,1,5,9,,0,1,12,0,,20,3,,10,1,18,5,3,1,3,34,4,,14,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0,,223
,Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38
,Peru,2,24,76,,101,26,171,117,30,168,187,96,14,18,18,58,60,28,197,89,35,155,158,464,680,658,378,939,667,641,710,870,278,322,364,333,248,601,230,16,96,96,130,47,175,46,130,328,52,97,24,5,16,22,47,368,193,172,,43,46,63,9,45,147,12621
,Philippines,,2,1,32,2,36,42,45,30,64,51,45,11,4,2,97,87,41,18,26,9,90,52,116,51,134,249,174,148,92,74,44,30,130,53,36,,26,12,19,33,34,43,61,71,27,40,70,64,,,10,5,10,34,14,23,16,10,1,3,63,16,75,57,2955
,PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0
,PKK (Turkey)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,0
,PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,4,12,14,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
,Poland,85,458,782,1009,1987,1098,686,1089,1058,993,852,848,687,1000,1566,1154,984,746,866,940,938,938,960,1153,1083,974,794,940,1117,1041,1001,811,724,528,462,919,1372,1014,890,493,270,162,52,8,32,203,107,1,3,25,148,36,255,349,225,112,475,1015,594,169,158,92,207,155,265,42158
,Portugal,18,18,116,285,269,166,74,163,101,48,31,150,28,41,45,63,236,288,378,339,371,177,17,17,117,326,64,94,128,5,36,50,190,4,109,155,5,9,89,138,77,1015,19,379,441,20,7,0,16,3,2,19,,29,70,157,220,60,144,371,892,168,54,27,4,9152
,PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
,Provisional IRA (UK)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,58,49,127,465,329,7,2,57,91,10,5,17,65,11,10,11,201,242,300,72,14,11,11,11,,,,27,,286,30,198,319,73,55,3338
,Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,15
,Romania,6,81,435,899,624,362,448,192,116,107,187,40,194,227,418,517,403,447,605,411,573,487,513,551,695,658,295,349,298,645,528,478,448,284,241,331,445,210,193,276,606,63,184,14,29,2,39,61,174,143,21,19,16,17,285,459,61,94,74,56,105,80,21,20,3,17861
,RPF (Rwanda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,4,100,,8,22,11,98,148,201,631
,Rwanda,,,,,,,,,,,,,5,0,0,0,,,,,2,,,4,1,3,,1,,,,,,3,3,3,2,,2,,,,2,,,,1,2,9,20,14,,,,,,2,15,8,13,,,5,11,14,142
,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Saudi Arabia,0,,7,1,2,16,10,56,37,8,17,12,22,,5,48,235,175,479,394,54,10,101,182,368,467,591,927,1001,759,1094,1808,2212,1816,832,1329,2859,2061,833,1415,2113,1049,1124,2374,983,984,1729,2812,2900,1580,85,61,567,167,1170,158,195,195,363,756,1020,1215,899,1192,2629,50560
,Senegal,,,,,,,,,,,0,8,,0,4,0,1,,1,19,,12,,1,17,,14,41,20,29,,,7,38,3,,14,18,,,,,,,1,6,,,,,,,,,,15,9,18,6,4,4,20,,6,17,351
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,13,6,1,1,27,,,,,,,,,16,,0,,,79
,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,1,2,15,,,10,,1,,0,,,,,,,,,,,,,,,15,,,,,,8,,7,16,100
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,6,14,,16,,12,,,,,,,9,,,,,2,0,1,,156
,Singapore,,,,,,,6,,,,,,,,,1,8,,6,139,92,165,177,99,290,247,247,168,50,327,407,169,176,243,79,120,75,275,546,235,531,375,112,170,182,306,171,625,815,318,798,249,232,85,375,536,65,375,1174,1522,1020,936,828,771,717,17634
,SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,44
,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,29,208,29,,,,0,,27,,,4,,0,,9,9,,,6,,466
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,26,11,22,20,8,4,18,2,41,2,17,17,3,3,2,,6,40,28,,,,282
,SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,12
,Somalia,,,,,,,,,,,10,2,0,11,,30,51,71,5,,,0,21,198,323,90,180,44,57,48,120,97,61,23,12,42,15,,,,16,,,,,,,,,1,,,,,,,,,,,,,,3,,1532
,South Africa,37,73,183,53,49,106,265,173,169,68,13,,215,476,266,353,468,260,179,178,464,252,227,316,171,223,415,507,390,130,200,122,49,225,126,29,211,16,7,13,13,27,363,244,239,38,38,11,,21,6,18,,,,262,708,881,486,128,180,212,132,2,,11682
,Southern rebels (Yemen)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,80
,South Korea,162,256,266,263,158,346,412,236,212,284,255,254,131,204,270,623,569,125,345,292,76,240,373,252,431,634,541,1187,366,1334,911,884,672,485,513,755,860,763,1212,1842,1217,910,801,1021,1021,1962,1976,1226,1431,1648,1398,773,532,754,1064,801,1644,1749,1679,799,1274,1570,1066,179,530,49019
,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,44,1,,61,3,5,15,165
,South Vietnam,,,,0,47,62,115,12,16,20,42,111,165,131,80,126,165,236,253,553,657,952,2535,604,308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7190
,South Yemen,,,,,,,,,,,,,,,,,,35,7,58,17,49,112,82,68,12,,8,55,1131,1109,376,41,99,71,52,215,89,12,45,,,,,,,,,,,,,,,,,,,,,,,,,,3742
,Soviet Union,33,,,8,48,948,1540,1500,1500,900,677,175,174,237,463,485,607,576,543,578,493,525,795,583,952,766,794,868,798,833,760,796,670,717,900,988,1374,1527,1603,1192,684,131,,,,,,,,,,,,,,,,,,,,,,,,29740
,Spain,1,,,78,89,218,269,288,136,295,231,112,55,14,60,402,277,275,128,190,237,601,752,886,580,1165,831,280,494,658,692,631,517,609,88,338,1111,1109,1959,866,709,112,212,303,855,363,429,228,99,386,334,168,282,233,315,363,311,334,355,248,290,182,240,152,124,25150
,SPLA (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Sri Lanka,0,,0,17,,8,1,2,19,31,4,,,,0,,,,,2,,33,47,,,,0,17,7,,18,,,,53,42,28,111,19,6,19,167,22,35,74,64,207,50,87,85,297,160,45,36,50,58,97,89,71,,5,21,,,5,2211
,Sudan,,,,,,,,2,4,4,9,15,19,8,36,5,5,2,16,193,611,87,69,23,3,,,26,204,12,12,204,131,25,105,65,9,122,74,16,3,81,6,,,3,27,63,,36,,106,49,204,293,132,65,33,128,89,182,173,115,196,124,4225
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10,,,,0,2,,7,,5,2,,,,,,,,,,,,23,,,,,,,,,,,,,,9,,64
,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,9
,Sweden,225,299,317,390,454,559,574,230,246,199,120,57,130,308,410,286,280,326,226,138,108,86,156,215,243,292,214,100,197,247,246,461,171,176,104,95,155,161,125,103,90,49,60,39,297,95,95,195,294,224,204,165,75,64,47,78,122,41,44,54,51,191,206,52,51,12309
,Switzerland,154,151,312,159,132,220,303,213,222,289,219,37,4,50,261,226,362,165,188,157,135,149,186,116,64,138,143,5,204,212,259,283,171,431,392,332,108,153,185,322,455,480,388,104,119,93,187,379,436,507,23,68,63,117,203,168,83,108,18,39,47,31,9,4,,11942
,Syria,80,2,20,18,61,75,106,374,125,39,37,11,16,71,47,74,504,885,804,852,880,734,1497,3181,3434,1377,462,900,824,2059,1956,1348,1992,2368,1879,1622,1023,1357,1255,623,734,316,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,276,193,298,368,371,361,10,38938
,Syria rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2
,Taiwan (ROC),,98,304,383,348,624,256,444,729,969,428,107,137,320,362,460,321,473,293,581,582,288,240,329,421,332,465,844,774,530,500,774,794,714,424,637,1005,642,649,281,392,661,473,1148,848,1313,1465,4787,3937,1720,585,345,299,117,320,696,508,12,11,60,97,198,425,582,1039,40898
,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,13,7,,32,,,,3,,82
,Tanzania,,,,,,,,,,,,,,,4,4,21,1,,,11,60,47,118,189,48,,44,63,260,53,121,9,,,,1,,,5,,,18,,5,,4,,,,,,,51,,10,12,1,,25,,78,115,85,26,1487
,Thailand,74,91,63,44,60,34,10,90,15,10,28,57,111,111,97,89,112,151,64,134,213,239,201,340,97,77,148,104,309,179,306,305,83,325,391,194,163,558,643,269,229,572,501,184,612,528,717,942,58,167,88,127,152,133,114,70,47,8,13,64,49,270,290,388,191,13099
,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,18
,Togo,,,,,,,,,,,1,,,,0,0,,,1,1,2,1,,2,,14,50,1,9,5,31,21,3,2,,,17,0,1,,,10,8,,3,3,,9,,,,,,,,,,,,,1,,4,,16,214
,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,6,6,6,,,,,0,,,,,,,,,,,,,,,,,,,18
,Trinidad and Tobago,,,,,,,,,,,,,,,,11,0,,,,,,11,2,,,,,,,22,6,,,,,,0,,,,,,,,,,,,,12,1,2,,,,,6,,,24,12,12,,,119
,Tunisia,,,,,,,,11,,13,44,6,,7,4,40,,5,17,24,44,0,4,26,14,15,10,93,14,122,106,59,59,103,114,324,,56,17,47,4,20,32,,35,46,56,37,18,11,,,83,1,,168,2,,3,,7,7,,38,42,2005
,Turkey,104,124,321,514,473,335,198,605,691,812,592,302,290,616,866,443,330,588,420,639,391,937,1096,789,773,1074,431,330,975,920,483,727,478,466,560,690,477,1422,1610,1007,1247,1216,1844,2309,1870,1596,1518,1531,2648,1735,1186,506,898,323,243,1092,511,666,675,733,469,733,1489,670,1550,54156
,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,21,,,,7,36,14,209,86,69,99,558
,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,6
,UAE,,,,,,,,,,,,,,,,,,,13,13,69,24,26,93,106,144,270,294,207,18,206,430,159,168,316,132,138,201,46,608,559,235,201,579,566,427,480,688,758,437,247,186,222,685,1210,2170,2021,919,751,560,605,1210,1088,2252,1031,23764
,Uganda,,,,,,,,,,,,,,,3,2,15,4,24,12,7,3,17,17,46,125,35,5,,,,,14,,,10,,31,1,20,,,,,,32,,,55,39,6,,33,,36,10,5,,5,23,37,471,219,20,,1381
,UIC (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
,Ukraine Rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23
,UNITA (Angola)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,14,,1,,,,,,,,,,,,,,,,,,,,,,,,,,27
,United Kingdom,105,246,532,1591,512,315,126,85,545,548,29,34,38,139,118,152,208,1418,2288,2570,60,171,227,233,292,309,232,232,186,241,561,811,790,301,635,331,260,186,261,205,117,935,1137,814,414,492,568,508,749,125,873,1282,725,770,214,27,308,777,513,387,503,379,599,519,251,32106
,United Nations**,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,12,55,11,,,1,6,35,,,,2,1,2,1,0,,,,,3,16,162
,United States,352,702,882,1322,2467,1892,2069,1369,699,643,219,238,264,358,366,230,144,84,70,70,46,539,681,666,594,345,449,337,321,203,326,451,198,413,361,662,423,1990,1788,1778,358,522,558,1008,998,805,595,600,280,234,345,502,505,591,558,521,641,821,948,973,1113,1014,1217,812,581,44107
,United Wa State (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
,Unknown country,,,,,,,,,,20,20,28,48,77,86,86,68,68,68,68,28,20,20,10,10,,,,,,30,85,85,86,86,86,86,86,86,41,,12,12,19,4,8,3,,4,,,2,,0,,,,,12,,8,6,,32,12,1612
,Unknown rebel group*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,0
